세그먼트코드,적용시작일자,역명,적용종료일자,이력구분,역일련번호,세그먼트누적거리,최초등록일시,최종변경일시
1106,1900-01-01,능곡,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1106,1900-01-01,대곡,9999-12-31,신규 ,2,1.8,2011-12-13 00:00,2011-12-13 00:00
1109,1900-01-01,대곡,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1109,1900-01-01,곡산,9999-12-31,신규 ,2,1.7,2011-12-13 00:00,2011-12-13 00:00
1109,1900-01-01,백마,9999-12-31,신규 ,3,3.3,2011-12-13 00:00,2011-12-13 00:00
1109,1900-01-01,풍산,9999-12-31,신규 ,4,5,2011-12-13 00:00,2011-12-13 00:00
1109,1900-01-01,일산,9999-12-31,신규 ,5,6.9,2011-12-13 00:00,2011-12-13 00:00
1109,1900-01-01,탄현,9999-12-31,신규 ,6,8.6,2011-12-13 00:00,2011-12-13 00:00
1109,1900-01-01,운정,9999-12-31,신규 ,7,12.2,2011-12-13 00:00,2011-12-13 00:00
1109,1900-01-01,금릉,9999-12-31,신규 ,8,15.3,2011-12-13 00:00,2011-12-13 00:00
1112,1900-01-01,금릉,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1112,1900-01-01,금촌,9999-12-31,신규 ,2,2.1,2011-12-13 00:00,2011-12-13 00:00
1115,1900-01-01,금촌,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1115,1900-01-01,월롱,9999-12-31,신규 ,2,4.1,2011-12-13 00:00,2011-12-13 00:00
1115,1900-01-01,파주,9999-12-31,신규 ,3,6.3,2011-12-13 00:00,2011-12-13 00:00
1115,1900-01-01,문산,9999-12-31,신규 ,4,10.7,2011-12-13 00:00,2011-12-13 00:00
1300,1900-01-01,용산,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1300,1900-01-01,이촌,9999-12-31,신규 ,2,1.9,2011-12-13 00:00,2011-12-13 00:00
1300,1900-01-01,서빙고,9999-12-31,신규 ,3,3.6,2011-12-13 00:00,2011-12-13 00:00
1303,1900-01-01,서빙고,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1303,1900-01-01,한남,9999-12-31,신규 ,2,1.9,2011-12-13 00:00,2011-12-13 00:00
1303,1900-01-01,옥수,9999-12-31,신규 ,3,3.5,2011-12-13 00:00,2011-12-13 00:00
1303,1900-01-01,응봉,9999-12-31,신규 ,4,5.3,2011-12-13 00:00,2011-12-13 00:00
1303,1900-01-01,왕십리,9999-12-31,신규 ,5,6.7,2011-12-13 00:00,2011-12-13 00:00
1303,1900-01-01,청량리,9999-12-31,신규 ,6,9.1,2011-12-13 00:00,2011-12-13 00:00
1306,1900-01-01,청량리,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1306,1900-01-01,회기,9999-12-31,신규 ,2,1.4,2011-12-13 00:00,2011-12-13 00:00
1309,1900-01-01,회기,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1309,1900-01-01,외대앞,9999-12-31,신규 ,2,0.8,2011-12-13 00:00,2011-12-13 00:00
1309,1900-01-01,신이문,9999-12-31,신규 ,3,1.6,2011-12-13 00:00,2011-12-13 00:00
1312,1900-01-01,신이문,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1312,1900-01-01,석계,9999-12-31,신규 ,2,1.4,2011-12-13 00:00,2011-12-13 00:00
1312,1900-01-01,성북,9999-12-31,신규 ,3,2.5,2011-12-13 00:00,2011-12-13 00:00
1315,1900-01-01,성북,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1315,1900-01-01,월계,9999-12-31,신규 ,2,1.1,2011-12-13 00:00,2011-12-13 00:00
1315,1900-01-01,녹천,9999-12-31,신규 ,3,2.5,2011-12-13 00:00,2011-12-13 00:00
1315,1900-01-01,창동,9999-12-31,신규 ,4,3.5,2011-12-13 00:00,2011-12-13 00:00
1318,1900-01-01,창동,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1318,1900-01-01,방학,9999-12-31,신규 ,2,1.7,2011-12-13 00:00,2011-12-13 00:00
1318,1900-01-01,도봉,9999-12-31,신규 ,3,3,2011-12-13 00:00,2011-12-13 00:00
1318,1900-01-01,도봉산,9999-12-31,신규 ,4,4.2,2011-12-13 00:00,2011-12-13 00:00
1318,1900-01-01,망월사,9999-12-31,신규 ,5,6.5,2011-12-13 00:00,2011-12-13 00:00
1318,1900-01-01,회룡,9999-12-31,신규 ,6,7.9,2011-12-13 00:00,2011-12-13 00:00
1318,1900-01-01,의정부,9999-12-31,신규 ,7,9.5,2011-12-13 00:00,2011-12-13 00:00
1321,1900-01-01,의정부,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1321,1900-01-01,의정북부,9999-12-31,신규 ,2,1.2,2011-12-13 00:00,2011-12-13 00:00
1321,1900-01-01,녹양,9999-12-31,신규 ,3,2.5,2011-12-13 00:00,2011-12-13 00:00
1321,1900-01-01,주내,9999-12-31,신규 ,4,4.1,2011-12-13 00:00,2011-12-13 00:00
1324,1900-01-01,주내,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1324,1900-01-01,마전,9999-12-31,신규 ,2,2.2,2011-12-13 00:00,2011-12-13 00:00
1324,1900-01-01,덕계,9999-12-31,신규 ,3,5.3,2011-12-13 00:00,2011-12-13 00:00
1324,1900-01-01,덕정,9999-12-31,신규 ,4,8.2,2011-12-13 00:00,2011-12-13 00:00
1324,1900-01-01,지행,9999-12-31,신규 ,5,13.8,2011-12-13 00:00,2011-12-13 00:00
1324,1900-01-01,동두천,9999-12-31,신규 ,6,14.8,2011-12-13 00:00,2011-12-13 00:00
1324,1900-01-01,보산,9999-12-31,신규 ,7,16.2,2011-12-13 00:00,2011-12-13 00:00
1324,1900-01-01,동안,9999-12-31,신규 ,8,17.8,2011-12-13 00:00,2011-12-13 00:00
1327,1900-01-01,동안,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1327,1900-01-01,소요산,9999-12-31,신규 ,2,2.5,2011-12-13 00:00,2011-12-13 00:00
1400,1900-01-01,망우,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1400,1900-01-01,갈매,9999-12-31,신규 ,2,4.7,2011-12-13 00:00,2011-12-13 00:00
1400,1900-01-01,퇴계원,9999-12-31,신규 ,3,7.7,2011-12-13 00:00,2011-12-13 00:00
1403,1900-01-01,퇴계원,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
1403,1900-01-01,사릉,9999-12-31,신규 ,2,3.3,2011-12-13 00:00,2011-12-13 00:00
1403,1900-01-01,금곡,9999-12-31,신규 ,3,6.9,2011-12-13 00:00,2011-12-13 00:00
1403,1900-01-01,평내,9999-12-31,신규 ,4,10.9,2011-12-13 00:00,2011-12-13 00:00
