G2B분류번호,G2B품명,G2B영문품명,품명해설,생성일시,G2B코드사용여부
25221368,철도차량용플라이휠하우징,Rollingstock engine flywheel housing,"객화차와 사고복구기중기 등 특수차량용 엔진의 플라이휠을 감싸서 보호하는 하우징으로, 부속품을 포함.",2012-12-19 01:27,Y
25221369,철도차량용기어케이스,Rollingstock engine gear case,객화차와 사고복구기중기 등 특수차량용 엔진에 장착된 각종 부속장치를 구동하는 기어구동장치의 케이스.,2012-12-19 01:27,Y
25221370,철도차량용과급기,Rollingstock engine turbocharger,객화차와 사고복구기중기 등 특수차량용 엔진의 고온고압의 배기가스를 이용하여 기관의 가스터빈을 회전시켜 기관의 출력을 증가시키고 연료를 절약하는 장치.,2012-12-19 01:27,Y
25221371,디젤기관차용과속방지장치,Diesel locomotive over speed trip,"디젤기관차 기관보호를 위하여 규정된 기관속도 초과시 실린더내 연료분사를 차단하여 기관과 주발전기를 보호하며, 완해기구 트립축 작동스프링 및 복구레버 등으로 구성됨.",2012-12-19 01:27,Y
252214,철도차량엔진연료장치,Rolling stock engine fuel equipment,철도차량 원동기의 연료계통 구성품 및 부품.,2012-12-19 01:27,Y
25221401,디젤기관차용분사변조정게이지,Diesel locomotive fuel injector gauge,디젤기관차 기관 분사변의 분사시기조정에 쓰이는 분사변 타이밍게이지와 분사변 래크를 조정하는 래크게이지가 있음.,2012-12-19 01:27,Y
25221402,철도차량용연료게이지,Rollingstock engine fuel gauge,객화차와 사고복구기중기 등 특수차량용 연료탱크의 연료 저장량을 나타내는 게이지임.,2012-12-19 01:27,Y
25221403,디젤동차용연료공급펌프,Diesel rail car fuel suply pump,"디젤동차 기관의 연료분사변에 연료를 압송해 주는 기어식 펌프로, 하우징, 헬리컬 기어 등으로 되어 있음.",2012-12-19 01:27,Y
25221404,디젤동차용공급펌프커플링,Diesel rail car fuel supplied pump coupling,디젤동차 연료공급펌프에 사용되는 커플링.,2012-12-19 01:27,Y
25221405,디젤기관차연료배관,Diesel locomotive fuel manifold and pipes,"디젤기관에 사용되는 연료탱크에서 연료분사변에 연료를 공급하기 위한 배관으로서 튜브, 개스킷 등이 부착되어 있음.",2012-12-19 01:27,Y
25221406,디젤동차용연료배관,Diesel rail car fuel manifold,디젤동차 기관운전에 필요한 연료이송용 배관.,2012-12-19 01:27,Y
