그룹코드(GRP_CODE),그룹명칭(GRP_TEXT),그룹코드사용여부(GRP_CODEUSE)
II010084,베어링,Y
II010085,감지센서,Y
II010086,용접봉,Y
II010087,밀링,Y
II010088,커터,Y
II010089,조절기,Y
II010090,버킷컨베이어,Y
II010091,체인컨베이어,Y
II010092,리프터,Y
II010093,방열기,Y
II010094,볼트너트와셔,Y
II010095,조명(등),Y
II010096,패킹,Y
II010097,연결이음구,Y
II010098,수액기,Y
II010099,개인보호구,Y
II0101,보선장비,Y
II010100,밸브변콕크,Y
II010101,부싱,Y
II010102,관재류,Y
II010103,고무호스,Y
II010104,호스릴,Y
II010105,충전기,Y
II010106,스크레이퍼,Y
II010107,스트리퍼,Y
II010108,펜치,Y
II010109,거울,Y
II010110,드라이버,Y
II010111,건전지,Y
II010112,바이트,Y
II010113,테이프,Y
II010114,절연테이프,Y
II010115,덮개류,Y
II010116,밴드,Y
II010117,봉형각재,Y
II010118,멈춤링,Y
II010119,수지류,Y
II010120,판재류,Y
II010121,초음파발생장치,Y
II010122,측정계측기,Y
II010123,탐상제,Y
II010124,용기류,Y
II010125,집게,Y
II010126,조정기,Y
II010127,냉방기,Y
II010128,첨가제,Y
II010129,디스크형저장장치,Y
II010130,메모리카드,Y
II010131,직물류,Y
II010132,선풍기,Y
II010133,접착제,Y
II010134,마스킹테이프,Y
II010135,판유리,Y
II010136,계전기,Y
II010137,고무마운트,Y
II010138,공기압축기,Y
II010139,공기여과기,Y
II010140,냉각기유체,Y
II010141,냉방기,Y
II010142,노즐,Y
II010143,다짐틀스페이서,Y
II010144,다짐틀슬리브,Y
II010145,링,Y
II010146,박스,Y
II010147,부싱,Y
II010148,스티커,Y
II010149,스페이서,Y
II010150,스프링,Y
II010151,윤활유분리기,Y
II010152,적산기록계,Y
II010153,제륜자,Y
II010154,콕크,Y
II010155,크랭크축,Y
II010156,키이,Y
II010157,타이탬퍼부속품,Y
II010158,파이프,Y
II010159,펌프,Y
II010160,포텐션메터,Y
II010161,플라이어,Y
II010162,플레이트,Y
II010163,피스톤,Y
II010164,피스톤링,Y
II010166,호스,Y
II010167,혼솔레노이드,Y
II010168,홀더,Y
II010169,휠,Y
II010170,디젤엔진,Y
II010171,케이블,Y
II010172,키핀류,Y
II010173,부동액,Y
II010174,가스류,Y
II010175,굴삭기부품,Y
II010176,난방기,Y
II010177,실린더,Y
II010178,과급기,Y
II010179,완충기,Y
II010180,지지대,Y
II010181,브라켓,Y
II010182,오일팬,Y
II010183,엔진블록,Y
HH010386,시험기용액,Y
HH010387,신문용지절지,Y
HH010388,실링재,Y
HH010389,쐐기,Y
HH010390,쓰레받기,Y
HH010391,아령,Y
HH010392,안내판,Y
HH010393,안전조끼,Y
HH010394,안전화,Y
HH010395,알루미늄설,Y
HH010396,압정기,Y
HH010397,열차접근경보기,Y
HH010398,엽서,Y
HH010399,엽서함,Y
HH0104,제용품,Y
HH010400,오일컵,Y
HH010401,오일펜스,Y
HH010402,우의,Y
HH010403,요대,Y
HH010404,작업화,Y
HH010405,운동화,Y
HH010406,운반상자,Y
HH010407,윈치,Y
HH010408,윤활유분리기,Y
HH010409,음주측정기,Y
HH010411,이어폰,Y
HH010412,일보,Y
HH010413,입장권,Y
HH010414,잉크,Y
HH010415,자물쇠,Y
HH010416,잡종인쇄물,Y
HH010417,장선기,Y
HH010418,재료보관대,Y
HH010419,적산기록계,Y
HH010420,정기간행물,Y
HH010421,제도용자,Y
HH010422,제륜자,Y
HH010423,주유기,Y
HH010424,주철설,Y
HH010425,증기기관차,Y
HH010426,진동방지장치,Y
HH010427,차측등,Y
HH010428,철도차량리프팅잭,Y
HH010429,케이지,Y
HH010430,콕크,Y
HH010431,쿠션,Y
HH010432,크랭크축,Y
HH010433,키이,Y
HH010434,타이탬퍼부속품,Y
HH010435,토탈힙머신,Y
HH010436,통로표시등,Y
HH010437,통표휴대기,Y
HH010438,파이프,Y
HH010439,팜플렛,Y
HH010440,펌프,Y
HH010441,편람,Y
HH010442,포대,Y
HH010443,포장지,Y
HH010444,포텐션메터,Y
HH010445,표면경화제,Y
HH010446,프린트및복사용지,Y
HH010447,플라이어,Y
HH010448,플레이트,Y
HH010449,피스톤,Y
HH010450,피스톤링,Y
HH010451,필터,Y
HH010452,합금강설,Y
HH010453,허리띠,Y
HH010454,호스,Y
HH010455,혼솔레노이드,Y
HH010456,홀더,Y
HH010457,화재감식용기구,Y
HH010458,화차,Y
HH010459,횃불,Y
HH010460,회로기판(PCB)제작기,Y
HH010461,휠,Y
HH010462,여객자동안내장치,Y
HH010463,KTX예비품,Y
HH010464,디젤엔진,Y
HH010465,케이블,Y
HH010466,화장지,Y
HH010467,침구류,Y
HH010468,컴퓨터부품,Y
HH010469,청소기부품,Y
HH010470,날,Y
HH010471,도끼,Y
HH010472,망치류,Y
HH010473,펀치,Y
HH010474,목재몰딩,Y
HH010475,안테나,Y
HH010476,물통,Y
HH010477,키핀류,Y
HH010478,인덕터,Y
HH010479,종자,Y
HH010480,종묘,Y
HH010481,살사장치,Y
HH010482,수납함,Y
HH010483,부동액,Y
HH010484,운동복,Y
HH010485,방청제,Y
HH010486,방청유,Y
HH010487,가스류,Y
HH010488,갈퀴,Y
HH010489,굴삭기부품,Y
HH010490,난방기,Y
HH010491,소화기,Y
HH010492,실린더,Y
HH010493,과급기,Y
HH010494,비계,Y
HH010495,완충기,Y
HH010496,지지대,Y
HH010497,브라켓,Y
HH010498,소음기,Y
HH010499,유해동물퇴치용품,Y
HH0105,제용품,Y
HH010500,오일팬,Y
HH010501,엔진블록,Y
HH010502,운전실장치,Y
HH010503,방염제,Y
HH010504,시계,Y
HH010505,연결기,Y
HH010506,동력전달장치,Y
II,보선장비,Y
II01,보선장비,Y
II0100,보선장비,Y
II010001,궤도검측차부속품,Y
II010002,아답타,Y
II010003,앰프,Y
II010004,암,Y
II010005,차축,Y
II010006,볼,Y
II010007,카터바,Y
II010008,베어링엔트쉴드,Y
II010009,베어링스탠드,Y
II010010,스페이셔,Y
II010011,브러쉬,Y
II010012,버퍼,Y
II010013,표시등,Y
II010014,부쉬,Y
II010015,버튼,Y
II010016,캐리어,Y
II010017,카트리지,Y
II010018,써크립,Y
II010019,써키트,Y
II010020,클램프,Y
II010021,클러치,Y
II010022,칼라,Y
II010023,코일,Y
II010024,커버,Y
II010025,커넥션,Y
II010026,선반기계,Y
II010027,디스크,Y
II010028,냉각팬,Y
II010029,여과재,Y
HH010234,전압저항계,Y
HH010235,측정계측기,Y
HH010236,탐상제,Y
HH010237,시험기구,Y
HH010238,용기류,Y
HH010239,용지류,Y
HH010240,집게,Y
HH010241,마이크로스위치,Y
HH010242,조정기,Y
HH010243,화공약품,Y
HH010244,냉방기,Y
HH010245,살충제,Y
HH010246,제초제,Y
HH010247,살균제,Y
HH010248,응집제,Y
HH010249,첨가제,Y
HH010250,청정제,Y
HH010251,세척제,Y
HH010252,방부제,Y
HH010253,건조제,Y
HH010254,포장용실리카겔건조제,Y
HH010255,부식방지제,Y
HH010256,처리제,Y
HH010257,흡착제,Y
HH010258,활성탄,Y
HH010259,디스크형저장장치,Y
HH010260,휴대용플래시메모리저장장치,Y
HH010261,메모리카드,Y
HH010262,전자카드,Y
HH010263,액자(額子),Y
HH010264,우편함,Y
HH010265,작업대,Y
HH010266,이젤,Y
HH010267,생활용품,Y
HH010268,직물류,Y
HH010269,커튼,Y
HH010270,선풍기,Y
HH010271,선풍기,Y
HH010272,봉인기,Y
HH010273,현상액,Y
HH010274,검사시험기,Y
