첨부파일_아이디(ID),역명,물류시설일련번호,사진설명,원본파일명,첨부파일명,첨부파일크기,최초등록일시,최종변경일시
398,의왕,1,경기도 의왕시,"오봉_싸이로, 철도CY_항공사진.jpg",2011101613580100.jpg,559307,2011-09-01 00:00,2011-09-01 00:00
399,의왕,1,"한라, 쌍용, 동양, 성신, 현대, 한일, 아세아",오봉_싸이로_시설물사진.jpg,2011101613580101.jpg,176001,2011-09-01 00:00,2011-09-01 00:00
400,의왕,1,의기(환) 2k.950,"오봉_싸이로, 철도CY_배선약도.jpg",2011101613580102.jpg,146615,2011-09-01 00:00,2011-09-01 00:00
401,의왕,1,양회싸이로(상세),오봉_싸이로_배선약도_상세도.jpg,2011101613580103.jpg,101463,2011-09-01 00:00,2011-09-01 00:00
402,의왕,1,양회기지 전경,오봉_싸이로_현장사진_양회기지 전경.jpg,2011101613580104.jpg,15504,2011-09-01 00:00,2011-09-01 00:00
403,의왕,1,쌍용,오봉_싸이로_현장사진_쌍용.jpg,2011101613580105.jpg,18105,2011-09-01 00:00,2011-09-01 00:00
404,의왕,2,동양,오봉_싸이로_현장사진_동양.jpg,2011101613583900.jpg,22351,2011-09-01 00:00,2011-09-01 00:00
446,김천,1,,저탄장항공.jpg,2012011115491702.jpg,88700,2012-01-11 15:49,2016-08-10 13:11
405,의왕,3,아세아,오봉_싸이로_현장사진_아세아.jpg,2011101613590200.jpg,18970,2011-09-01 00:00,2011-09-01 00:00
406,의왕,4,성신,오봉_싸이로_현장사진_성신.jpg,2011101613592500.jpg,14296,2011-09-01 00:00,2011-09-01 00:00
407,의왕,5,현대,오봉_싸이로_현장사진_현대.jpg,2011101613595600.jpg,16301,2011-09-01 00:00,2011-09-01 00:00
408,의왕,6,한일,오봉_싸이로_현장사진_한일.jpg,2011101614001800.jpg,19096,2011-09-01 00:00,2011-09-01 00:00
409,의왕,7,라파즈한라,오봉_싸이로_현장사진_라파즈한라.jpg,2011101614005500.jpg,21516,2011-09-01 00:00,2024-02-26 10:21
410,의왕,1,제1터미널,오봉_철도CY_시설물사진_제1 터미널.jpg,2011101614040100.jpg,216424,2011-09-01 00:00,2011-09-01 00:00
