역명,물류시설일련번호,지역본부명,구역구분명,설치일자,운용개시일자,조성일자,기부채납일자,사용시작일자,사용종료일자,무상사용시작일자,무상사용종료일자,시설자산여부,시설자산사용면적수,시설자산전체면적수,운영자산여부,운영자산사용면적수,운영자산전체면적수,기타자산여부,기타자산사용면적수,기타자산전체면적수,부지사용면적수,부지전체면적수,연간사용요금내역,연간수입내역,연간적정수송면적수,최초등록일시,최종변경일시,최대작업수량,작업선유효장
춘천,1,수도권동부본부,,1990-03-22,,,1990-04-25,1990-03-22,9999-12-31,,,N,,,N,,,N,,,,,7804490,,,2011-09-01 00:00,2011-09-01 00:00,,
무릉,1,경북본부,,1990-12-21,,,1990-12-21,1990-12-21,9999-12-31,1990-12-21,2010-12-20,0,,,1,,,0,,,,,무상(90.12.21 ~ 10.12.20),,,2011-09-01 00:00,2017-02-13 17:21,,
신녕,1,경북본부,,1992-12-30,,,1994-02-04,1992-12-30,9999-12-31,1994-02-04,2014-02-04,0,,,Y,,,0,,,,,,,,2011-09-01 00:00,2011-09-01 00:00,,
평은,1,경북본부,,1996-05-15,,,,1996-05-15,2014-09-19,,,0,,,0,,,Y,6864,6864,6864,6864,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
장성화,1,광주본부,,,2005-02-01,,,2005-02-01,9999-12-31,,,N,,,N,,,Y,89387,89387,89387,89387,,103000000,300,2011-09-01 00:00,2011-09-01 00:00,,
적량,1,전남본부,,,1990-03-01,,,1990-03-01,2016-08-18,,,N,,,Y,4800,4800,N,,,4800,4800,,770000000,18,2011-09-01 00:00,2011-09-01 00:00,,
조치원,1,대전충남본부,,,1994-08-19,,,1994-08-19,9999-12-31,,,N,0,,1,0,11976,Y,0,132,0,12108,,1369000000,31,2011-09-01 00:00,2016-08-08 10:34,,
충주,1,충북본부,,,2007-01-15,,,2007-01-15,9999-12-31,,,0,,,1,7664,7664,1,0,0,7664,7664,,617000000,28,2011-09-01 00:00,2023-10-18 17:16,,
태금,1,전남본부,,,1999-07-19,,,1999-07-19,2016-08-12,,,N,,,Y,7260,7260,N,,,7260,7260,,1190000000,26,2011-09-01 00:00,2011-09-01 00:00,,
옥천,1,대전충남본부,,,1996-01-03,,,1996-01-03,9999-12-31,,,0,,,1,2725,2725,0,,,2725,2725,,200000000,2,2011-09-01 00:00,2016-08-12 17:47,10,14
옥천,2,대전충남본부,,,1996-01-03,,,1996-01-03,9999-12-31,,,0,,,1,2724,2724,0,,,2724,2724,,200000000,2,2011-09-01 00:00,2023-10-18 16:15,,
송정리,1,광주본부,,,1996-11-26,,,1996-11-26,2016-08-18,,,N,,,Y,7124,7124,N,,,7124,7124,,341000000,24,2011-09-01 00:00,2011-09-01 00:00,,
송정리,2,광주본부,,,2003-11-01,,,2003-11-01,2016-08-18,,,N,,,Y,6116,6116,N,,,6116,6116,,310000000,21,2011-09-01 00:00,2011-09-01 00:00,,
매포,1,대전충남본부,,,2006-11-01,,,2006-11-01,2015-08-21,,,0,,,Y,5582,5804,0,,,5582,5804,,380000000,14,2011-09-01 00:00,2012-01-09 15:19,,
부강,1,대전충남본부,,,1994-01-14,,,1994-01-14,9999-12-31,,,0,,,1,0,3570,0,,,0,3570,,,13,2011-09-01 00:00,2016-08-12 17:14,15,18
부강,2,대전충남본부,,,2009-09-01,,,2009-09-01,9999-12-31,,,0,,,Y,,3443,0,,,0,3443,,,1234,2011-09-01 00:00,2016-05-16 14:58,,
북전주,1,전북본부,,,1968-08-01,,,1968-08-01,9999-12-31,,,N,,,N,,,Y,1650,1650,1650,1650,,637000000,16,2011-09-01 00:00,2011-09-01 00:00,,
북전주,2,전북본부,,,1996-10-01,,,1996-10-01,9999-12-31,,,N,,,N,,,Y,3350,3350,3350,3350,,814000000,25,2011-09-01 00:00,2011-09-01 00:00,,
약목,1,대구본부,,,2005-02-01,,,2005-02-01,2016-08-11,,,0,,,1,28632,28632,0,,,28632,28632,,165477600,100,2011-09-01 00:00,2016-08-11 18:56,33,470
약목,2,대구본부,,,1995-02-03,,,1995-02-03,2016-08-11,,,0,,,0,5051,7068,0,,,5051,7068,,50671200,20,2011-09-01 00:00,2016-08-11 18:52,6,117
의왕,1,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,47258,47258,N,,,47258,47258,,4678000000,30676,2011-09-01 00:00,2011-09-01 00:00,,
의왕,2,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,9134,9134,N,,,9134,9134,,700000000,5929,2011-09-01 00:00,2011-09-01 00:00,,
의왕,3,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,9134,9134,N,,,9134,9134,,0,5929,2011-09-01 00:00,2011-09-01 00:00,,
의왕,4,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,0,,,1,7537,7537,0,,,7537,7537,,1345,4892,2011-09-01 00:00,2011-09-01 00:00,,
의왕,5,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,6619,6619,N,,,6619,6619,,368000000,1384,2011-09-01 00:00,2011-09-01 00:00,,
의왕,6,수도권서부본부,제1터미널,,1984-07-20,,,1984-07-20,9999-12-31,,,N,,,Y,12615,12615,N,,,12615,12615,,200000000,8188,2011-09-01 00:00,2011-09-01 00:00,,
